"V1","V2","V3","V4","V5","V6","peakTF"
6,28,7421,12372,0.999993873841473,0.181314770536732,"BRD9_G-401"
6,28,3344,12372,0.808733974828348,0.735857039379565,"BRD9_K-562"
10,28,6642,12372,0.982328701931854,0.478512486888082,"BRD9_Mel270"
2,28,1646,12372,0.902992140168523,0.500677709739025,"NR3C1_HCC1937"
7,28,3849,12372,0.815518229301548,0.737625626264785,"NR3C1_K-562"
5,28,5417,12372,0.999085120070375,0.278476198415159,"NR3C1_ALL"
5,28,2168,12372,0.558871430701316,1.02323667341474,"NR3C1_U2OS"
6,28,1465,12372,0.105539553561202,2.03458497027567,"NR3C1_MDA-MB-231"
2,28,515,12372,0.32617859715813,1.77391898300227,"NR3C1_MCF-10A"
4,28,945,12372,0.161707797184946,2.01951675121284,"NR3C1_SUP-B15"
10,28,4823,12372,0.70457135524514,0.869273067162099,"NR3C1_SUM159PT"
5,28,4349,12372,0.987005835807098,0.40037749949766,"NR3C1_MCF-7"
3,28,2116,12372,0.880527947193059,0.581056131414098,"CDKN1B_MDA-BoM-1833"
7,28,6676,12372,0.999548313853631,0.283677643510961,"CDK9_HCT-116"
8,28,3927,12372,0.707229552671661,0.859930622644608,"CDK9_A-375"
1,28,2354,12372,0.997305810247975,0.157274318818007,"CDK9_BT-474"
6,28,3649,12372,0.876210252720592,0.65139167176394,"CDK9_MV4-11"
7,28,9122,12372,0.999999989221661,0.118118458368864,"CDK9_HEK293T"
10,28,7765,12372,0.999024551257175,0.328778986916444,"FOSL2_A-549"
10,28,5853,12372,0.92328035854105,0.618144149176437,"FOSL2_Hep-G2"
9,28,1085,12372,0.000441887527209794,4.95931998689062,"FOSL2_hESC"
8,28,1132,12372,0.00282005686989044,3.99166128381076,"FOSL2_SK-N-SH"
6,28,5538,12372,0.997285616501654,0.335868766787128,"RUNX1_Kasumi-1"
7,28,6914,12372,0.999786487414543,0.262417642047942,"RUNX1_697"
9,28,9515,12372,0.99999992344158,0.14144633459886,"RUNX1_NB4"
7,28,8332,12372,0.999999211200537,0.160948463500643,"RUNX1_NALM-6"
9,28,8655,12372,0.999992578212688,0.202629214790577,"RUNX1_MV4-11"
3,28,1422,12372,0.639611347030297,0.923887837642344,"RUNX1_keratinocyte"
3,28,4888,12372,0.999862553865026,0.18325664692827,"ATF2_macrophage"
8,28,5733,12372,0.982820242655317,0.462502321771265,"FOXP1_B-cell"
8,28,7324,12372,0.999749112332453,0.274933459227068,"FOXP1_Hep-G2"
9,28,6663,12372,0.993982077757495,0.405086261068436,"CHD1_A-549"
5,28,7426,12372,0.999999198683976,0.144206258339946,"NONO_K-562"
5,28,4921,12372,0.99660329626339,0.32850226119515,"NR2C2_K-562"
9,28,9930,12372,0.999999995486421,0.115716151251564,"MED1_HCT-116"
