"V1","V2","V3","V4","V5","V6","peakTF"
358,875,5970,12372,0.999997402440055,0.726163244961503,"EP300_WA01"
142,875,2126,12372,0.794123725784836,0.928904101935796,"EP300_GM12878"
441,875,6862,12372,0.999195464760531,0.80330057932604,"EP300_Ishikawa"
401,875,6530,12372,0.999991635184028,0.740973514641347,"EP300_K-562"
345,875,5301,12372,0.984652415019391,0.859135532018157,"ZFP36_GM12878"
526,875,8135,12372,0.999867057129353,0.770160678272891,"JUN_Karpas-299"
245,875,3325,12372,0.229233432710668,1.06275153477821,"JUN_T-cell"
583,875,8805,12372,0.99895522858974,0.795266150906194,"ZFP64_HEK293"
584,875,9405,12372,0.999999999955419,0.608846631096533,"HNRNPLL_K-562"
320,875,4910,12372,0.977053514243714,0.867660260959598,"STAT3_MDA-MB-157"
47,875,424,12372,0.00137789795596271,1.67419934157872,"TSC22D4_Hep-G2"
210,875,3670,12372,0.999954410914038,0.73353280827415,"USF2_Hep-G2"
265,875,4006,12372,0.921395775468267,0.900668266752696,"MYC_GEN2-2"
397,875,7049,12372,0.999999999999666,0.604968290907236,"MYC_SK-N-AS"
583,875,9285,12372,0.99999999737383,0.641306486770627,"MYC_NCI-H2171"
452,875,7268,12372,0.999995237516131,0.733881121313681,"MYC_MIA-PaCa-2"
560,875,8504,12372,0.999153505903432,0.795161941095763,"MYC_U-87MG"
315,875,4848,12372,0.979611859950717,0.864195450803027,"SRF_GM12878"
238,875,4397,12372,0.999999979501261,0.659235185619982,"SRF_MCF-7"
82,875,1419,12372,0.982987003165733,0.785798498112512,"SRF_HCT-116"
95,875,1923,12372,0.999985859044532,0.644246969872267,"SRF_WA01"
41,875,555,12372,0.408088818188091,1.05046144188754,"SRF_HCASMC"
362,875,6020,12372,0.999996925397355,0.728248694285613,"RFX5_HeLa-S3"
143,875,2271,12372,0.951122679997162,0.860106639555237,"ATF3_liver"
446,875,6652,12372,0.960300524632232,0.886356221921052,"SMAD3_HCC1954"
593,875,8860,12372,0.995690518749119,0.821638386956932,"SMAD3_SUM159PT"
293,875,4193,12372,0.616641784447009,0.980669299885105,"MED1_P493-6"
612,875,9515,12372,0.999999671655595,0.678022809527563,"RUNX1_NB4"
424,875,7358,12372,0.999999999996514,0.61871025608502,"RUNX1_THP-1"
411,875,6605,12372,0.999964967529894,0.758380310148447,"KLF4_keratinocyte"
115,875,1968,12372,0.992116740879109,0.787544493780314,"KLF4_hiPSC"
460,875,7001,12372,0.994060695918363,0.839855993572264,"KLF4_HAP1"
520,875,7094,12372,0.103505089541076,1.09694497163271,"ZNF800_Hep-G2"
500,875,7703,12372,0.999432761280686,0.794881124910441,"EGR1_Hep-G2"
151,875,2387,12372,0.949681752441352,0.863833688100304,"XBP1_HS578T"
301,875,5624,12372,0.999999999997739,0.608252160068577,"RBPJ_MUTUL"
80,875,1103,12372,0.42173370498133,1.03029291336628,"RBPJ_LCL"
598,875,8669,12372,0.883655253800987,0.916401920228043,"RAD21_HeLa-S3"
366,875,4373,12372,2.2328919952347e-05,1.34400463199851,"RAD21_HUVEC-C"
622,875,9264,12372,0.996427627792552,0.812190795678149,"RAD21_HEK293"
474,875,7258,12372,0.99763510791272,0.821212606190998,"RAD21_MCF-7"
312,875,4283,12372,0.262723366285137,1.05028801561078,"RAD21_Hep-G2"
289,875,3691,12372,0.0182922134124311,1.17346441733229,"BRD7_SUM159PT"
23,875,237,12372,0.0756641357822758,1.42325097542245,"ELL2_HCT-116"
17,875,336,12372,0.947232916950394,0.694324278304266,"MEF2A_K-562"
489,875,8306,12372,0.999999999999762,0.596401722962105,"CREB1_GM23338"
536,875,8194,12372,0.999389695861207,0.792660084185784,"YY1_Huh-7"
428,875,7981,12372,1,0.499999098550516,"YY1_RH4"
456,875,7612,12372,0.999999998272606,0.660239231786737,"YY1_liver"
375,875,6735,12372,0.999999999999582,0.605813473503131,"HDAC3_RH4"
168,875,3099,12372,0.999991134809863,0.694459008861776,"HIF1A_LNCaP"
428,875,6709,12372,0.999519684719909,0.795161751489119,"MBD1_Hep-G2"
377,875,6493,12372,0.999999996834741,0.66608028842212,"RUVBL2_Huh-7"
535,875,7754,12372,0.843149021295062,0.932484077022568,"SMC1A_monocyte"
326,875,5090,12372,0.993205870335932,0.839244220211114,"DR1_Hep-G2"
37,875,674,12372,0.961662394996409,0.752770637759812,"SMARCA2_SK-N-MC"
113,875,1577,12372,0.455067971686581,1.01627937487737,"RELA_HEK293"
101,875,1186,12372,0.0259869344719015,1.25220645200444,"RELA_HDF"
