V1,V2,V3,V4,V5,V6,peakTF
2,37,112,12372,0.044041681,6.347965359,HOXA9_SEM
1,37,148,12372,0.359774022,2.302842039,FOS_THP-1
1,37,899,12372,0.938914745,0.353799412,FOS_MV4-11
1,37,248,12372,0.527781022,1.359383098,FOSL2_MDA-MB-231
1,37,1989,12372,0.998489291,0.144587332,PBX2_K-562
2,37,475,12372,0.418256478,1.432970395,YY1AP1_MCF-10A
1,37,91,12372,0.23932741,3.77856378,JUN_keratinocyte
2,37,481,12372,0.424549255,1.414308698,JUN_primary-lung-fibroblast
1,37,87,12372,0.230092872,3.955479392,RBPJ_HKC
4,37,2771,12372,0.978751733,0.419149178,HIF1A_U2OS
3,37,3031,12372,0.997491943,0.271216358,NFE2L2_BEAS-2B
1,37,1186,12372,0.976110472,0.261385761,RELA_HDF
1,37,69,12372,0.18716987,5.009661038,MBD2_HMEC-1
1,37,428,12372,0.728714702,0.774667926,TRIM25_MDA-MB-231
2,37,1319,12372,0.916732229,0.478077894,ZEB1_NCI-H1975
2,37,2803,12372,0.999129622,0.194515872,ZEB1_RKO
1,37,1221,12372,0.978729913,0.253090267,ZEB1_MIA-PaCa-2
5,37,7496,12372,1,0.101062355,MCRS1_Hep-G2
6,37,7798,12372,0.999999999,0.112890927,MYC_NB69
2,37,1796,12372,0.978160483,0.335773435,TERF2_LCL
2,37,4229,12372,0.999996249,0.109616212,BRD4_HAP1
1,37,309,12372,0.608284858,1.084666236,LDB1_K-562
3,37,1967,12372,0.947759214,0.465955509,NR2F6_K-562
2,37,782,12372,0.688237585,0.846525973,RXRA_WA01
2,37,883,12372,0.752188807,0.7429226,ZNF574_MCF-7
1,37,1153,12372,0.973354792,0.2696689,NR2C2_WI-38VA13
1,37,492,12372,0.777688755,0.670075533,BRD4_CLB-Ga
2,37,622,12372,0.561611836,1.079690584,RARA_U-937
2,37,1427,12372,0.937761207,0.437514672,ARNT_PC-3
2,37,421,12372,0.360313078,1.624998346,NR2F2_WI-38VA13
2,37,1098,12372,0.852597182,0.586007328,PML_fibroblast
2,37,1409,12372,0.934633741,0.443842688,RAD21_neuroblastoma
1,37,1493,12372,0.991482733,0.201887349,CTCF_BL41
1,37,1352,12372,0.98627324,0.225856373,CTCF_BJAB
1,37,638,12372,0.859409922,0.51012727,HIVEP1_K-562
2,37,2797,12372,0.99911142,0.195056105,PRKDC_MCF-7
4,37,3716,12372,0.998642927,0.281569345,ELK1_HeLa-S3
2,37,2900,12372,0.99937869,0.186092509,NCOR2_LS180
1,37,228,12372,0.498040651,1.481554172,DNMT1_K-562
1,37,1116,12372,0.969896868,0.279539091,JARID2_UTEIPS6
3,37,873,12372,0.49008469,1.162762868,RELA_HeLa
3,37,1422,12372,0.81445518,0.678789887,JUND_MCF-7
5,37,4670,12372,0.999739834,0.256922008,ARID1B_MCF-7
3,37,3628,12372,0.999658207,0.212015037,ZBTB7B_MCF-7
2,37,1116,12372,0.859110902,0.575612639,MBD3_MCF-7
2,37,2641,12372,0.998487499,0.209964374,STAT3_OCI-Ly3
1,37,1061,12372,0.963936915,0.295484375,ELF1_Ramos
1,37,309,12372,0.608284858,1.084666236,ESRRA_Hep-G2
1,37,217,12372,0.480914717,1.558416341,SMARCB1_K-562
1,37,3000,12372,0.999966114,0.086481351,ELF1_HCT-116
1,37,1855,12372,0.99757009,0.157045052,ELF1_SEM
2,37,4630,12372,0.99999934,0.095166344,DIDO1_K-562
1,37,435,12372,0.734544458,0.761725829,SFPQ_Hep-G2
3,37,502,12372,0.188605255,2.09270742,CHD4_GM12878
3,37,906,12372,0.515541704,1.117041383,CHD4_pre-B-cell
6,37,5639,12372,0.999964479,0.23030536,CREBBP_tonsil
2,37,1929,12372,0.985302198,0.308655269,NCOR2_AML
2,37,1574,12372,0.958603151,0.391259976,LDB1_H9
3,37,1020,12372,0.598324052,0.98195509,NR3C1_MDA-MB-453
2,37,1225,12372,0.89339002,0.51921311,TRPS1_T-47D
2,37,789,12372,0.693056461,0.838488205,PML_NB4
6,37,6242,12372,0.999997189,0.189324737,ETS1_OVCAR-8
3,37,2288,12372,0.977526391,0.388098927,KDM1A_SET-2
3,37,944,12372,0.544072255,1.068411143,ZMYM3_K-562
1,37,348,12372,0.652578171,0.959657271,RAD21_CHRF28811
2,37,693,12372,0.621731475,0.96291354,SAFB2_Hep-G2
1,37,718,12372,0.890892272,0.450121415,HSF1_ZR751
1,37,735,12372,0.896637753,0.439053312,HSF1_HT29
4,37,3337,12372,0.995623917,0.327378727,FOS_MNNG-HOS
1,37,1269,12372,0.981872485,0.242458261,ZC3H11A_K-562
1,37,407,12372,0.710468079,0.816171611,ZNF768_HEK293
3,37,3433,12372,0.999329679,0.229086068,BRD4_BT-474
2,37,209,12372,0.12893056,3.347331742,TCF3_697
2,37,2387,12372,0.996495441,0.238410781,XBP1_HS578T
2,37,531,12372,0.475645318,1.275260352,TCF12_MCF-7
2,37,2542,12372,0.997893398,0.220375183,ZNF75A_K-562
2,37,2293,12372,0.995255746,0.250537235,ZNF75A_MCF-7
3,37,2933,12372,0.996588516,0.283239403,ZNF207_WA09
1,37,1183,12372,0.97587188,0.262119662,YY1_HeLa
1,37,84,12372,0.223095478,4.099345198,ZNF263_HEK293
4,37,4140,12372,0.999671042,0.240329028,ZNF263_HEK293T
3,37,2119,12372,0.964670697,0.426142165,ZEB1_Hep-G2
1,37,259,12372,0.543399964,1.300246307,CEBPG_MCF-7
2,37,2676,12372,0.998656234,0.206468221,ATF3_WA01
2,37,2026,12372,0.989053769,0.291124776,ATF3_GM12878
1,37,1167,12372,0.974559702,0.266097581,STAT1_AGS
1,37,1996,12372,0.998526586,0.14398255,ZBTB11_MCF-7
1,37,385,12372,0.690072868,0.864520005,ATF4_CD34-pos
1,37,1582,12372,0.993718234,0.188958912,FOXK1_HEK293T
1,37,1305,12372,0.983928092,0.234997909,DDX20_MCF-7
1,37,1419,12372,0.989050044,0.213872472,SRF_HCT-116
2,37,1923,12372,0.985034228,0.309797768,SRF_WA01
2,37,1768,12372,0.976290303,0.342002981,ATF1_Hep-G2
2,37,588,12372,0.530626844,1.145670648,RFX5_GM12878
4,37,1171,12372,0.469294479,1.159964814,RFX5_IMR-90
5,37,1960,12372,0.718894359,0.829615671,RFX5_SK-N-SH
2,37,3019,12372,0.999591751,0.176498508,NFYB_HeLa-S3
1,37,1438,12372,0.989732429,0.210677433,FOS_GM12878
6,37,2125,12372,0.629237351,0.933108405,HDAC2_pre-B-cell
1,37,2125,12372,0.99907329,0.133550899,IRF3_SK-N-SH
1,37,1159,12372,0.973877831,0.268127761,IRF3_HeLa-S3
1,37,580,12372,0.831225251,0.564012053,HDAC3_AML
2,37,849,12372,0.731975981,0.775041124,ELK1_GM12878
3,37,4092,12372,0.999937101,0.177940421,FOS_HCT-116
2,37,407,12372,0.344967099,1.683145802,RFX5_WA01
2,37,3094,12372,0.999687827,0.170831237,HDAC2_GM12878
1,37,351,12372,0.655775815,0.951194174,ZNF506_HEK293T
2,37,2781,12372,0.999061078,0.196508131,ZSCAN29_K-562
3,37,535,12372,0.214100325,1.957463581,HSF1_Hep-G2
2,37,1257,12372,0.901925615,0.504517852,NCOR2_B-cell
1,37,105,12372,0.270807338,3.26621044,ZNF780A_HEK293T
2,37,1993,12372,0.98789276,0.296897054,CHD4_RH5
2,37,1078,12372,0.845051048,0.597964636,ZBTB1_HEK293
2,37,562,12372,0.506005866,1.201509652,MEIS1_A-673
1,37,301,12372,0.598542662,1.114340763,ZNF324_K-562
1,37,261,12372,0.546185252,1.290031749,MEF2A_SK-N-SH
1,37,262,12372,0.54757169,1.284983172,CBX5_GM12878
1,37,532,12372,0.803806916,0.617507305,TEAD1_CCLP1
1,37,74,12372,0.199321051,4.664513653,CUX1_GM12878
1,37,467,12372,0.759678763,0.707512968,ELK1_A-549
1,37,81,12372,0.216036221,4.254133559,ARNT_786-M1A
1,37,168,12372,0.397465145,2.02378053,HIF1A_ccRCC
2,37,1002,12372,0.813220208,0.647762002,HIF1A_RCC10
3,37,513,12372,0.197009655,2.045682585,HIF1A_786-O
2,37,64,12372,0.015616682,11.30270175,EPAS1_786-O
2,37,573,12372,0.516518464,1.177264893,EPAS1_ccRCC
