"Run","p","OR","a","b","c","d","tissue"
"Run_Up8_Locus",0.166666666666667,Inf,1,4,1,24,"Brain_Nucleus_accumbens_basal_ganglia"
"Run_Up8_Locus",0.176470588235294,Inf,1,3,1,17,"Brain_Putamen_basal_ganglia"
"Run_Up8_Locus",NA,NA,NA,NA,NA,NA,"Brain_Spinal_cord_cervical_c-1"
"Run_Up8_Locus",0.428571428571428,Inf,1,3,1,7,"Brain_Substantia_nigra"
"Run_Up8_Locus",0.130434782608696,Inf,2,9,2,24,"Breast_Mammary_Tissue"
"Run_Up8_Locus",0.477812857787184,1.42704600841466,3,13,8,42,"Cells_Cultured_fibroblasts"
"Run_Up8_Locus",0.625,1.73196728148012,1,6,2,16,"Cells_EBV-transformed_lymphocytes"
"Run_Up8_Locus",0.295161290322581,3.01654118927173,2,9,4,33,"Colon_Sigmoid"
"Run_Up8_Locus",0.298029556650246,3.80586987755622,2,11,3,30,"Colon_Transverse"
"Run_Up8_Locus",0.143280632411067,7.53277490801283,2,6,3,24,"Esophagus_Gastroesophageal_Junction"
"Run_Up8_Locus",0.571105824975794,1.26931763651116,2,11,6,38,"Esophagus_Mucosa"
"Run_Up8_Locus",0.118601986249045,4.86057010395345,3,10,5,36,"Esophagus_Muscularis"
"Run_Up8_Locus",0.187625418060201,4.9173643862661,3,11,4,26,"Heart_Atrial_Appendage"
"Run_Up8_Locus",0.490706395054221,1.47782825296016,3,10,7,28,"Heart_Left_Ventricle"
"Run_Up8_Locus",NA,NA,NA,NA,NA,NA,"Kidney_Cortex"
"Run_Up8_Locus",0.133333333333333,Inf,2,4,2,10,"Liver"
"Run_Up8_Locus",0.0170559881349648,14.8564041396938,4,9,5,31,"Lung"
"Run_Up8_Locus",0.272727272727273,Inf,1,3,1,11,"Minor_Salivary_Gland"
"Run_Up8_Locus",0.187708565072302,3.3453433037805,3,9,6,33,"Muscle_Skeletal"
"Run_Up8_Locus",0.308981657179001,2.27424072245363,3,12,6,36,"Nerve_Tibial"
"Run_Up8_Locus",NA,NA,NA,NA,NA,NA,"Ovary"
"Run_Up8_Locus",0.375,Inf,1,9,1,24,"Pancreas"
"Run_Up8_Locus",NA,NA,NA,NA,NA,NA,"Pituitary"
"Run_Up8_Locus",0.333333333333333,Inf,1,6,1,18,"Prostate"
"Run_Up8_Locus",0.310511679644049,2.88223820335747,2,9,4,32,"Skin_Not_Sun_Exposed_Suprapubic"
"Run_Up8_Locus",0.694000502050037,0.921889479286231,2,12,7,40,"Skin_Sun_Exposed_Lower_leg"
"Run_Up8_Locus",0.25,Inf,1,4,1,16,"Small_Intestine_Terminal_Ileum"
"Run_Up8_Locus",0.307692307692308,Inf,1,8,1,26,"Spleen"
"Run_Up8_Locus",0.27046866177301,3.49733924383218,2,6,4,23,"Stomach"
"Run_Up8_Locus",0.550009269558769,1.39239326626836,2,11,5,33,"Testis"
"Run_Up8_Locus",0.555448899748389,1.28133088396624,2,11,7,45,"Thyroid"
"Run_Up8_Locus",NA,NA,NA,NA,NA,NA,"Uterus"
